,2000_idh,2000_hiv,aid_2000,2006_idh,2006_hiv,aid_2006
Kazakhstan,0.657,0.06,1.1104043892134,0.721,0.1,0.243602631325411
Kenya,0.443,9.0,4.07711139627062,0.474,6.6,4.22009613362594
Kyrgyz Republic,0.577,0.06,16.6739426573782,0.598,0.1,11.1469846668996
Lao,0.448,0.06,16.9018670632189,0.491,0.1,11.148620265451
Lesotho,0.427,24.5,3.76661444560752,0.426,23.5,3.77191874297377
Liberia,0.306,3.3,13.1150820051756,0.298,2.0,57.6216814148656
Madagascar,0.427,0.2,8.41045062702862,0.471,0.2,14.3802624172212
Malawi,0.343,14.2,26.1317267624671,0.36,11.8,23.4812727006206
Malaysia,0.705,0.4,0.052992439509973,0.742,0.5,0.151102410949287
Maldives,0.576,0.06,3.22206620890437,0.632,0.06,3.02151032862235
Mali,0.275,1.7,12.0381638360546,0.326,1.1,15.674142865725
Mauritania,0.41,0.6,17.1351746220719,0.436,0.7,7.6153330898095
Mauritius,0.672,0.3,0.443909154324315,0.709,0.7,0.293050360019412
Mexico,0.718,0.3,-0.01020110034449,0.748,0.3,0.028944785942771
Moldova,0.586,0.4,9.35121483001138,0.637,0.4,6.0310451448955
Mongolia,0.555,0.06,19.1712042852628,0.621,0.06,5.99930811282076
Morocco,0.507,0.1,1.20491480314591,0.559,0.1,1.70345571088199
Mozambique,0.245,8.6,22.5569556196574,0.29,11.3,25.3286627352179
Namibia,0.577,15.3,3.86463242551636,0.6,15.0,1.91369133893474
Nepal,0.398,0.5,7.00131197203031,0.432,0.4,5.75868055422787
Nicaragua,0.533,0.1,11.42323282353,0.571,0.2,11.1179458510295
Niger,0.229,1.0,11.7338928194215,0.269,0.9,14.9352856715752
Pakistan,0.436,0.06,0.96225362637415,0.483,0.1,1.67716953261921
Panama,0.718,1.4,0.139456709366767,0.745,1.0,0.195293065553225
Papua New Guinea,0.423,0.4,8.33083212879102,0.436,0.8,5.6556954287679
Paraguay,0.612,0.3,1.15312653132248,0.639,0.3,0.609403056700811
Peru,0.674,0.5,0.76495520674806,0.697,0.4,0.517220067174398
Philippines,0.602,0.06,0.705859449805661,0.624,0.06,0.467061853075738
Rwanda,0.313,3.8,18.7403715160582,0.39,3.0,19.5640868159197
Senegal,0.399,0.6,9.39592222850508,0.436,0.8,9.3200803384698
Serbia,0.719,0.06,18.6502611746563,0.749,0.1,5.47669871540363
Sierra Leone,0.252,0.9,29.3198318345561,0.312,1.6,27.8901644802331
South Africa,0.616,16.1,0.374984364527165,0.601,18.1,0.279433141239897
Sri Lanka,0.633,0.06,1.71839263329338,0.667,0.06,2.82087652712528
Sudan,0.357,0.3,1.94763440734781,0.39,0.7,6.23612560356427
Swaziland,0.492,22.3,0.842393352984797,0.499,25.7,1.17423746655311
Tajikistan,0.527,0.1,14.9850518841333,0.583,0.2,8.8402788693691
Tanzania,0.364,7.3,10.5192821082241,0.429,6.0,13.3056434028197
Thailand,0.626,1.8,0.576638674151961,0.661,1.4,-0.109215839420392
Togo,0.408,3.6,5.49686669963305,0.425,3.3,3.69050815455975
Trinidad and Tobago,0.701,1.2,-0.020330022233518,0.741,1.4,0.078950129154931
Tunisia,0.63,0.06,1.08030067819745,0.675,0.06,1.31531513307706
Turkey,0.634,0.06,0.124513677603634,0.681,0.06,0.107915378719617
Uganda,0.372,7.3,14.0213172612918,0.41,6.3,16.3074724944527
Uruguay,0.736,0.3,0.076459840899238,0.755,0.5,0.110067353273448
Vietnam,0.528,0.2,5.47211865532546,0.568,0.4,3.10072498307857
Zambia,0.371,14.4,25.6550983271295,0.398,13.8,15.393282169878
Zimbabwe,0.372,24.8,2.77520197259838,0.348,17.2,5.4232478944171
